,registered,dteday,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_score,user_segment,user_type,casual
351,351.0,2012-12-18,13,13,6156,5,4,4,13,High-Value Users,registered,
352,352.0,2012-12-15,16,14,5922,4,4,4,12,Medium-Value Users,registered,
353,353.0,2012-07-13,171,7,3079,2,3,3,8,Low-Value Users,registered,
354,354.0,2012-12-05,26,15,6885,4,4,5,13,High-Value Users,registered,
355,355.0,2012-11-26,35,11,5194,4,4,4,12,Medium-Value Users,registered,
356,356.0,2012-12-13,18,12,5540,4,4,4,12,Medium-Value Users,registered,
357,357.0,2012-10-09,83,11,5437,3,4,4,11,Medium-Value Users,registered,
358,358.0,2012-12-02,29,15,6918,4,4,5,13,High-Value Users,registered,
359,359.0,2012-12-20,11,9,3785,5,3,4,12,Medium-Value Users,registered,
360,360.0,2012-12-19,12,9,4217,5,3,4,12,Medium-Value Users,registered,
361,361.0,2012-11-20,41,16,7314,4,4,5,13,High-Value Users,registered,
362,362.0,2012-12-05,26,14,6348,4,4,4,12,Medium-Value Users,registered,
363,363.0,2012-11-26,35,11,5027,4,4,4,12,Medium-Value Users,registered,
364,364.0,2012-12-15,16,7,3161,4,3,3,10,Medium-Value Users,registered,
365,365.0,2012-08-12,141,9,4390,2,3,4,9,Low-Value Users,registered,
366,366.0,2012-12-12,19,11,5679,4,4,4,12,Medium-Value Users,registered,
367,367.0,2012-10-16,76,10,4415,3,4,4,11,Medium-Value Users,registered,
368,368.0,2012-12-15,16,16,7159,4,4,5,13,High-Value Users,registered,
369,369.0,2012-12-01,30,17,8177,4,4,5,13,High-Value Users,registered,
370,370.0,2012-10-27,65,7,3740,3,3,4,10,Medium-Value Users,registered,
371,371.0,2012-12-01,30,10,4781,4,4,4,12,Medium-Value Users,registered,
372,372.0,2012-12-14,17,12,6134,4,4,4,12,Medium-Value Users,registered,
373,373.0,2012-11-02,59,6,2839,3,3,3,9,Low-Value Users,registered,
374,374.0,2012-12-08,23,12,5228,4,4,4,12,Medium-Value Users,registered,
375,375.0,2012-11-15,46,8,3826,3,3,4,10,Medium-Value Users,registered,
376,376.0,2012-10-20,72,8,3768,3,3,4,10,Medium-Value Users,registered,
377,377.0,2012-11-09,52,12,5270,3,4,4,11,Medium-Value Users,registered,
378,378.0,2012-12-08,23,14,6409,4,4,5,13,High-Value Users,registered,
379,379.0,2012-10-04,88,7,3155,3,3,3,9,Low-Value Users,registered,
380,380.0,2012-12-13,18,8,3839,4,3,4,11,Medium-Value Users,registered,
381,381.0,2012-12-06,25,12,5346,4,4,4,12,Medium-Value Users,registered,
382,382.0,2012-10-22,70,6,2861,3,3,3,9,Low-Value Users,registered,
383,383.0,2012-11-10,51,8,4460,3,3,4,10,Medium-Value Users,registered,
384,384.0,2012-12-12,19,11,5101,4,4,4,12,Medium-Value Users,registered,
385,385.0,2012-09-20,102,7,3140,2,3,3,8,Low-Value Users,registered,
386,386.0,2012-12-01,30,9,4035,4,3,4,11,Medium-Value Users,registered,
387,387.0,2012-12-03,28,7,2870,4,3,3,10,Medium-Value Users,registered,
388,388.0,2012-10-27,65,12,6007,3,4,4,11,Medium-Value Users,registered,
389,389.0,2012-12-05,26,7,3250,4,3,3,10,Medium-Value Users,registered,
390,390.0,2012-11-11,50,5,2796,3,3,3,9,Low-Value Users,registered,
391,391.0,2012-12-04,27,14,6466,4,4,5,13,High-Value Users,registered,
392,392.0,2012-05-18,227,4,1733,2,3,3,8,Low-Value Users,registered,
393,393.0,2012-11-11,50,13,5846,3,4,4,11,Medium-Value Users,registered,
394,394.0,2012-08-10,143,7,3097,2,3,3,8,Low-Value Users,registered,
395,395.0,2012-09-07,115,2,886,2,2,2,6,Low-Value Users,registered,
396,396.0,2012-10-24,68,7,3076,3,3,3,9,Low-Value Users,registered,
397,397.0,2012-12-03,28,14,6220,4,4,4,12,Medium-Value Users,registered,
398,398.0,2012-05-16,229,7,3097,2,3,3,8,Low-Value Users,registered,
399,399.0,2012-12-08,23,15,7045,4,4,5,13,High-Value Users,registered,
400,400.0,2012-12-05,26,8,4435,4,3,4,11,Medium-Value Users,registered,
401,401.0,2012-10-27,65,6,3197,3,3,3,9,Low-Value Users,registered,
402,402.0,2012-09-16,106,6,2877,2,3,3,8,Low-Value Users,registered,
403,403.0,2012-11-28,33,6,2926,4,3,3,10,Medium-Value Users,registered,
404,404.0,2012-10-27,65,10,5400,3,4,4,11,Medium-Value Users,registered,
405,405.0,2012-11-14,47,8,4245,3,3,4,10,Medium-Value Users,registered,
406,406.0,2012-09-13,109,3,1368,2,2,2,6,Low-Value Users,registered,
407,407.0,2012-10-25,67,4,1808,3,3,3,9,Low-Value Users,registered,
408,408.0,2012-10-26,66,9,4557,3,3,4,10,Medium-Value Users,registered,
409,409.0,2012-12-10,21,8,3699,4,3,4,11,Medium-Value Users,registered,
410,410.0,2012-11-21,40,5,2517,4,3,3,10,Medium-Value Users,registered,
411,411.0,2012-11-20,41,7,3357,4,3,3,10,Medium-Value Users,registered,
412,412.0,2012-12-11,20,8,3949,4,3,4,11,Medium-Value Users,registered,
413,413.0,2012-10-11,81,5,2255,3,3,3,9,Low-Value Users,registered,
414,414.0,2012-12-04,27,12,5667,4,4,4,12,Medium-Value Users,registered,
415,415.0,2012-10-08,84,11,5184,3,4,4,11,Medium-Value Users,registered,
416,416.0,2012-10-08,84,2,989,3,2,2,7,Low-Value Users,registered,
417,417.0,2012-10-05,87,13,6190,3,4,4,11,Medium-Value Users,registered,
418,418.0,2012-08-27,126,7,3350,2,3,3,8,Low-Value Users,registered,
419,419.0,2012-09-30,92,6,3359,3,3,3,9,Low-Value Users,registered,
420,420.0,2012-11-11,50,4,2265,3,3,3,9,Low-Value Users,registered,
421,421.0,2012-09-11,111,8,3918,2,3,4,9,Low-Value Users,registered,
422,422.0,2012-01-30,336,3,1321,2,2,2,6,Low-Value Users,registered,
423,423.0,2012-07-27,157,6,3040,2,3,3,8,Low-Value Users,registered,
424,424.0,2012-11-11,50,3,1638,3,2,2,7,Low-Value Users,registered,
425,425.0,2012-10-27,65,6,3039,3,3,3,9,Low-Value Users,registered,
426,426.0,2012-06-15,199,8,3852,2,3,4,9,Low-Value Users,registered,
427,427.0,2012-09-22,100,5,2649,3,3,3,9,Low-Value Users,registered,
428,428.0,2012-04-10,265,6,2890,2,3,3,8,Low-Value Users,registered,
429,429.0,2012-07-09,175,8,3895,2,3,4,9,Low-Value Users,registered,
430,430.0,2012-12-07,24,5,2395,4,3,3,10,Medium-Value Users,registered,
431,431.0,2012-07-03,181,3,1436,2,2,2,6,Low-Value Users,registered,
432,432.0,2012-12-14,17,9,4227,4,3,4,11,Medium-Value Users,registered,
433,433.0,2012-10-23,69,6,3307,3,3,3,9,Low-Value Users,registered,
434,434.0,2012-10-19,73,6,3387,3,3,4,10,Medium-Value Users,registered,
435,435.0,2012-10-13,79,6,3287,3,3,3,9,Low-Value Users,registered,
436,436.0,2012-10-20,72,8,4202,3,3,4,10,Medium-Value Users,registered,
437,437.0,2012-10-22,70,11,5597,3,4,4,11,Medium-Value Users,registered,
438,438.0,2012-07-24,160,5,2477,2,3,3,8,Low-Value Users,registered,
439,439.0,2012-10-21,71,3,1655,3,2,2,7,Low-Value Users,registered,
440,440.0,2012-07-19,165,4,1891,2,3,3,8,Low-Value Users,registered,
441,441.0,2012-10-20,72,4,2188,3,3,3,9,Low-Value Users,registered,
442,442.0,2012-05-08,237,7,3350,2,3,3,8,Low-Value Users,registered,
443,443.0,2012-09-22,100,5,2678,3,3,3,9,Low-Value Users,registered,
444,444.0,2012-12-03,28,6,2880,4,3,3,10,Medium-Value Users,registered,
445,445.0,2012-10-26,66,9,4851,3,3,4,10,Medium-Value Users,registered,
446,446.0,2012-12-13,18,4,2237,4,3,3,10,Medium-Value Users,registered,
447,447.0,2012-10-19,73,6,3208,3,3,3,9,Low-Value Users,registered,
448,448.0,2012-11-07,54,5,2671,3,3,3,9,Low-Value Users,registered,
449,449.0,2012-10-17,75,8,3883,3,3,4,10,Medium-Value Users,registered,
450,450.0,2012-12-20,11,6,3252,5,3,3,11,Medium-Value Users,registered,
451,451.0,2012-09-22,100,7,3668,3,3,4,10,Medium-Value Users,registered,
452,452.0,2012-08-02,151,5,2369,2,3,3,8,Low-Value Users,registered,
453,453.0,2012-11-05,56,9,4641,3,3,4,10,Medium-Value Users,registered,
454,454.0,2012-09-16,106,5,2847,2,3,3,8,Low-Value Users,registered,
455,455.0,2012-07-30,154,7,3462,2,3,4,9,Low-Value Users,registered,
456,456.0,2012-09-29,93,5,2959,3,3,3,9,Low-Value Users,registered,
457,457.0,2012-10-23,69,3,1547,3,2,2,7,Low-Value Users,registered,
458,458.0,2012-09-09,113,8,4127,2,3,4,9,Low-Value Users,registered,
459,459.0,2012-08-31,122,7,3477,2,3,4,9,Low-Value Users,registered,
460,460.0,2012-09-22,100,5,2817,3,3,3,9,Low-Value Users,registered,
461,461.0,2012-10-15,77,7,3539,3,3,4,10,Medium-Value Users,registered,
462,462.0,2012-07-03,181,6,3063,2,3,3,8,Low-Value Users,registered,
463,463.0,2012-08-23,130,6,3172,2,3,3,8,Low-Value Users,registered,
464,464.0,2012-12-21,10,6,3167,5,3,3,11,Medium-Value Users,registered,
465,465.0,2012-10-24,68,7,3531,3,3,4,10,Medium-Value Users,registered,
466,466.0,2011-08-05,514,2,1095,2,2,2,6,Low-Value Users,registered,
467,467.0,2012-10-17,75,9,4680,3,3,4,10,Medium-Value Users,registered,
468,468.0,2012-09-21,101,4,2154,3,3,3,9,Low-Value Users,registered,
469,469.0,2012-11-27,34,6,3158,4,3,3,10,Medium-Value Users,registered,
470,470.0,2012-10-01,91,6,3093,3,3,3,9,Low-Value Users,registered,
471,471.0,2012-10-18,74,5,2524,3,3,3,9,Low-Value Users,registered,
472,472.0,2012-07-18,166,7,3720,2,3,4,9,Low-Value Users,registered,
473,473.0,2012-12-07,24,8,4492,4,3,4,11,Medium-Value Users,registered,
474,474.0,2012-10-10,82,8,4473,3,3,4,10,Medium-Value Users,registered,
475,475.0,2012-05-18,227,4,2133,2,3,3,8,Low-Value Users,registered,
476,476.0,2011-05-20,591,1,517,2,2,2,6,Low-Value Users,registered,
477,477.0,2012-11-06,55,2,992,3,2,2,7,Low-Value Users,registered,
478,478.0,2012-12-17,14,9,4693,5,3,4,12,Medium-Value Users,registered,
479,479.0,2012-01-24,342,3,1579,2,2,2,6,Low-Value Users,registered,
480,480.0,2012-09-04,118,9,4750,2,3,4,9,Low-Value Users,registered,
481,481.0,2012-10-05,87,3,1629,3,2,2,7,Low-Value Users,registered,
482,483.0,2012-11-16,45,10,5543,4,4,4,12,Medium-Value Users,registered,
483,484.0,2012-06-28,186,8,4400,2,3,4,9,Low-Value Users,registered,
484,485.0,2011-06-03,577,2,1102,2,2,2,6,Low-Value Users,registered,
485,486.0,2012-11-12,49,9,4893,3,3,4,10,Medium-Value Users,registered,
486,487.0,2012-05-31,214,5,2751,2,3,3,8,Low-Value Users,registered,
487,488.0,2012-10-18,74,7,3871,3,3,4,10,Medium-Value Users,registered,
488,489.0,2012-11-30,31,9,4698,4,3,4,11,Medium-Value Users,registered,
489,490.0,2012-11-12,49,5,2718,3,3,3,9,Low-Value Users,registered,
490,491.0,2012-11-08,53,6,3577,3,3,4,10,Medium-Value Users,registered,
491,492.0,2012-07-31,153,7,3840,2,3,4,9,Low-Value Users,registered,
492,493.0,2012-12-17,14,4,2190,5,3,3,11,Medium-Value Users,registered,
493,494.0,2012-11-27,34,2,1009,4,2,2,8,Low-Value Users,registered,
494,495.0,2012-12-04,27,6,3188,4,3,3,10,Medium-Value Users,registered,
495,496.0,2012-09-23,99,4,2478,3,3,3,9,Low-Value Users,registered,
496,497.0,2012-10-25,67,5,2742,3,3,3,9,Low-Value Users,registered,
497,498.0,2012-10-10,82,6,3205,3,3,3,9,Low-Value Users,registered,
498,499.0,2012-08-27,126,3,1703,2,2,2,6,Low-Value Users,registered,
499,500.0,2012-08-21,132,4,2185,2,3,3,8,Low-Value Users,registered,
500,501.0,2012-11-07,54,4,2143,3,3,3,9,Low-Value Users,registered,
501,502.0,2012-11-26,35,4,2259,4,3,3,10,Medium-Value Users,registered,
502,503.0,2012-07-16,168,3,1710,2,2,2,6,Low-Value Users,registered,
503,504.0,2012-10-03,89,4,2113,3,3,3,9,Low-Value Users,registered,
504,505.0,2012-10-16,76,3,1613,3,2,2,7,Low-Value Users,registered,
505,506.0,2012-10-24,68,5,2770,3,3,3,9,Low-Value Users,registered,
506,507.0,2012-12-13,18,4,2297,4,3,3,10,Medium-Value Users,registered,
507,508.0,2012-06-25,189,4,2154,2,3,3,8,Low-Value Users,registered,
508,509.0,2012-08-02,151,5,2891,2,3,3,8,Low-Value Users,registered,
509,510.0,2012-09-09,113,5,3025,2,3,3,8,Low-Value Users,registered,
510,511.0,2012-09-27,95,3,1721,3,2,2,7,Low-Value Users,registered,
511,512.0,2012-12-18,13,4,2285,5,3,3,11,Medium-Value Users,registered,
512,513.0,2012-09-24,98,4,2283,3,3,3,9,Low-Value Users,registered,
513,514.0,2012-11-27,34,9,4922,4,3,4,11,Medium-Value Users,registered,
514,515.0,2012-12-12,19,4,2298,4,3,3,10,Medium-Value Users,registered,
515,516.0,2012-04-19,256,5,2831,2,3,3,8,Low-Value Users,registered,
516,517.0,2012-02-27,308,4,2303,2,3,3,8,Low-Value Users,registered,
517,518.0,2012-05-11,234,2,1155,2,2,2,6,Low-Value Users,registered,
518,519.0,2012-10-23,69,2,1152,3,2,2,7,Low-Value Users,registered,
519,520.0,2012-11-29,32,1,537,4,2,2,8,Low-Value Users,registered,
520,521.0,2011-05-17,594,1,604,2,2,2,6,Low-Value Users,registered,
521,522.0,2012-10-24,68,3,1723,3,2,2,7,Low-Value Users,registered,
522,523.0,2012-12-11,20,7,4079,4,3,4,11,Medium-Value Users,registered,
523,524.0,2012-08-22,131,4,2386,2,3,3,8,Low-Value Users,registered,
524,525.0,2012-08-15,138,4,2448,2,3,3,8,Low-Value Users,registered,
525,526.0,2012-09-23,99,1,776,3,2,2,7,Low-Value Users,registered,
526,527.0,2012-04-11,264,5,2980,2,3,3,8,Low-Value Users,registered,
527,529.0,2012-09-19,103,4,2411,2,3,3,8,Low-Value Users,registered,
528,530.0,2012-11-28,33,3,1723,4,2,2,8,Low-Value Users,registered,
529,531.0,2012-08-29,124,4,2293,2,3,3,8,Low-Value Users,registered,
530,532.0,2012-08-30,123,5,3079,2,3,3,8,Low-Value Users,registered,
531,533.0,2012-12-18,13,5,2928,5,3,3,11,Medium-Value Users,registered,
532,534.0,2012-11-20,41,7,4089,4,3,4,11,Medium-Value Users,registered,
533,535.0,2012-06-21,193,1,615,2,2,2,6,Low-Value Users,registered,
534,536.0,2012-12-19,12,2,1155,5,2,2,9,Low-Value Users,registered,
535,537.0,2012-08-23,130,4,2397,2,3,3,8,Low-Value Users,registered,
536,538.0,2012-05-01,244,1,557,2,2,2,6,Low-Value Users,registered,
537,539.0,2012-12-07,24,7,4027,4,3,4,11,Medium-Value Users,registered,
538,540.0,2012-12-12,19,7,4085,4,3,4,11,Medium-Value Users,registered,
539,541.0,2012-11-15,46,1,563,3,2,2,7,Low-Value Users,registered,
540,542.0,2012-12-06,25,4,2449,4,3,3,10,Medium-Value Users,registered,
541,543.0,2012-11-14,47,4,2375,3,3,3,9,Low-Value Users,registered,
542,544.0,2012-12-10,21,3,1718,4,2,2,8,Low-Value Users,registered,
543,545.0,2012-03-08,298,2,1187,2,2,2,6,Low-Value Users,registered,
544,546.0,2012-12-19,12,4,2275,5,3,3,11,Medium-Value Users,registered,
545,547.0,2012-05-04,241,3,1817,2,2,3,7,Low-Value Users,registered,
546,548.0,2012-07-02,182,2,1239,2,2,2,6,Low-Value Users,registered,
547,549.0,2012-09-13,109,5,2961,2,3,3,8,Low-Value Users,registered,
548,551.0,2012-11-30,31,5,2987,4,3,3,10,Medium-Value Users,registered,
549,552.0,2012-08-10,143,1,640,2,2,2,6,Low-Value Users,registered,
550,553.0,2012-11-20,41,3,1804,4,2,3,9,Low-Value Users,registered,
551,554.0,2012-06-04,210,3,1823,2,2,3,7,Low-Value Users,registered,
552,555.0,2012-06-25,189,3,1839,2,2,3,7,Low-Value Users,registered,
553,556.0,2012-11-08,53,2,1176,3,2,2,7,Low-Value Users,registered,
554,557.0,2012-09-12,110,3,1864,2,2,3,7,Low-Value Users,registered,
555,558.0,2012-08-16,137,2,1345,2,2,2,6,Low-Value Users,registered,
556,559.0,2012-11-19,42,1,580,4,2,2,8,Low-Value Users,registered,
557,560.0,2012-07-11,173,2,1287,2,2,2,6,Low-Value Users,registered,
558,561.0,2012-08-17,136,2,1279,2,2,2,6,Low-Value Users,registered,
559,562.0,2012-09-10,112,2,1273,2,2,2,6,Low-Value Users,registered,
560,563.0,2012-11-15,46,3,1742,3,2,3,8,Low-Value Users,registered,
561,564.0,2012-11-14,47,5,3160,3,3,3,9,Low-Value Users,registered,
562,565.0,2012-04-26,249,2,1246,2,2,2,6,Low-Value Users,registered,
563,566.0,2012-10-12,80,1,642,3,2,2,7,Low-Value Users,registered,
564,567.0,2012-08-08,145,4,2471,2,3,3,8,Low-Value Users,registered,
565,568.0,2012-11-06,55,1,588,3,2,2,7,Low-Value Users,registered,
566,570.0,2012-05-22,223,2,1259,2,2,2,6,Low-Value Users,registered,
567,571.0,2012-10-01,91,2,1206,3,2,2,7,Low-Value Users,registered,
568,572.0,2012-09-11,111,2,1289,2,2,2,6,Low-Value Users,registered,
569,573.0,2012-08-03,150,2,1256,2,2,2,6,Low-Value Users,registered,
570,575.0,2012-12-10,21,4,2473,4,3,3,10,Medium-Value Users,registered,
571,576.0,2012-12-05,26,3,1952,4,2,3,9,Low-Value Users,registered,
572,577.0,2012-06-28,186,3,1865,2,2,3,7,Low-Value Users,registered,
573,578.0,2012-12-10,21,2,1221,4,2,2,8,Low-Value Users,registered,
574,579.0,2012-05-11,234,3,1810,2,2,3,7,Low-Value Users,registered,
575,580.0,2012-12-11,20,5,3126,4,3,3,10,Medium-Value Users,registered,
576,581.0,2012-11-02,59,2,1233,3,2,2,7,Low-Value Users,registered,
577,582.0,2012-12-17,14,3,1912,5,2,3,10,Medium-Value Users,registered,
578,583.0,2012-11-07,54,1,601,3,2,2,7,Low-Value Users,registered,
579,584.0,2012-10-26,66,3,1948,3,2,3,8,Low-Value Users,registered,
580,585.0,2012-12-20,11,1,599,5,2,2,9,Low-Value Users,registered,
581,586.0,2012-12-06,25,3,1882,4,2,3,9,Low-Value Users,registered,
582,588.0,2012-05-29,216,1,634,2,2,2,6,Low-Value Users,registered,
583,589.0,2012-09-26,96,3,1967,3,2,3,8,Low-Value Users,registered,
584,591.0,2012-08-14,139,2,1290,2,2,2,6,Low-Value Users,registered,
585,592.0,2012-08-22,131,1,683,2,2,2,6,Low-Value Users,registered,
586,593.0,2012-11-09,52,2,1484,3,2,2,7,Low-Value Users,registered,
587,594.0,2012-09-13,109,3,1980,2,2,3,7,Low-Value Users,registered,
588,595.0,2012-06-18,196,2,1259,2,2,2,6,Low-Value Users,registered,
589,596.0,2012-06-12,202,2,1309,2,2,2,6,Low-Value Users,registered,
590,597.0,2012-11-06,55,2,1324,3,2,2,7,Low-Value Users,registered,
591,598.0,2012-09-05,117,5,3304,2,3,3,8,Low-Value Users,registered,
592,599.0,2012-04-24,251,2,1275,2,2,2,6,Low-Value Users,registered,
593,600.0,2012-06-20,194,1,643,2,2,2,6,Low-Value Users,registered,
594,601.0,2012-04-16,259,2,1441,2,2,2,6,Low-Value Users,registered,
595,602.0,2012-05-07,238,2,1303,2,2,2,6,Low-Value Users,registered,
596,603.0,2012-05-15,230,2,1308,2,2,2,6,Low-Value Users,registered,
597,604.0,2012-11-05,56,3,1908,3,2,3,8,Low-Value Users,registered,
598,605.0,2012-05-17,228,2,1275,2,2,2,6,Low-Value Users,registered,
599,608.0,2012-05-07,238,2,1266,2,2,2,6,Low-Value Users,registered,
600,609.0,2012-09-28,94,2,1320,3,2,2,7,Low-Value Users,registered,
601,610.0,2012-04-05,270,1,638,2,2,2,6,Low-Value Users,registered,
602,611.0,2012-06-20,194,2,1355,2,2,2,6,Low-Value Users,registered,
603,613.0,2012-06-11,203,2,1353,2,2,2,6,Low-Value Users,registered,
604,614.0,2012-03-13,293,1,676,2,2,2,6,Low-Value Users,registered,
605,615.0,2012-10-31,61,5,3341,3,3,3,9,Low-Value Users,registered,
606,616.0,2012-05-01,244,2,1410,2,2,2,6,Low-Value Users,registered,
607,617.0,2012-09-04,118,4,2669,2,3,3,8,Low-Value Users,registered,
608,618.0,2012-08-20,133,3,2014,2,2,3,7,Low-Value Users,registered,
609,619.0,2012-08-10,143,3,2088,2,2,3,7,Low-Value Users,registered,
610,620.0,2012-07-20,164,3,2140,2,2,3,7,Low-Value Users,registered,
611,621.0,2012-04-13,262,1,738,2,2,2,6,Low-Value Users,registered,
612,622.0,2012-09-06,116,2,1302,2,2,2,6,Low-Value Users,registered,
613,623.0,2012-12-14,17,2,1348,4,2,2,8,Low-Value Users,registered,
614,624.0,2012-07-18,166,1,679,2,2,2,6,Low-Value Users,registered,
615,625.0,2012-11-15,46,5,3309,3,3,3,9,Low-Value Users,registered,
616,626.0,2012-04-10,265,1,704,2,2,2,6,Low-Value Users,registered,
617,627.0,2012-08-24,129,2,1515,2,2,2,6,Low-Value Users,registered,
618,628.0,2012-11-01,60,5,3424,3,3,4,10,Medium-Value Users,registered,
619,629.0,2012-11-26,35,3,1991,4,2,3,9,Low-Value Users,registered,
620,631.0,2012-04-17,258,1,673,2,2,2,6,Low-Value Users,registered,
621,632.0,2012-05-29,216,1,710,2,2,2,6,Low-Value Users,registered,
622,633.0,2012-06-19,195,1,673,2,2,2,6,Low-Value Users,registered,
623,634.0,2012-06-28,186,5,3581,2,3,4,9,Low-Value Users,registered,
624,636.0,2012-08-03,150,1,668,2,2,2,6,Low-Value Users,registered,
625,637.0,2012-06-06,208,1,668,2,2,2,6,Low-Value Users,registered,
626,638.0,2012-06-27,187,2,1421,2,2,2,6,Low-Value Users,registered,
627,639.0,2012-10-02,90,2,1345,3,2,2,7,Low-Value Users,registered,
628,640.0,2012-09-18,104,4,2799,2,3,3,8,Low-Value Users,registered,
629,641.0,2012-05-08,237,1,710,2,2,2,6,Low-Value Users,registered,
630,642.0,2012-08-15,138,6,4267,2,3,4,9,Low-Value Users,registered,
631,643.0,2012-06-04,210,1,665,2,2,2,6,Low-Value Users,registered,
632,644.0,2012-07-11,173,1,674,2,2,2,6,Low-Value Users,registered,
633,645.0,2012-04-04,271,1,744,2,2,2,6,Low-Value Users,registered,
634,646.0,2012-12-06,25,3,2159,4,2,3,9,Low-Value Users,registered,
635,647.0,2012-09-17,105,3,2223,2,2,3,7,Low-Value Users,registered,
636,648.0,2012-08-13,140,3,2151,2,2,3,7,Low-Value Users,registered,
637,649.0,2012-11-20,41,4,2737,4,3,3,10,Medium-Value Users,registered,
638,650.0,2012-11-19,42,1,663,4,2,2,8,Low-Value Users,registered,
639,651.0,2012-04-19,256,1,677,2,2,2,6,Low-Value Users,registered,
640,652.0,2012-12-18,13,5,3434,5,3,4,12,Medium-Value Users,registered,
641,653.0,2012-07-12,172,2,1386,2,2,2,6,Low-Value Users,registered,
642,654.0,2012-08-31,122,2,1491,2,2,2,6,Low-Value Users,registered,
643,655.0,2012-12-13,18,2,1440,4,2,2,8,Low-Value Users,registered,
644,656.0,2012-11-02,59,3,2241,3,2,3,8,Low-Value Users,registered,
645,658.0,2012-07-02,182,1,730,2,2,2,6,Low-Value Users,registered,
646,659.0,2012-05-24,221,2,1421,2,2,2,6,Low-Value Users,registered,
647,660.0,2012-07-13,171,1,713,2,2,2,6,Low-Value Users,registered,
648,661.0,2012-06-07,207,3,2251,2,2,3,7,Low-Value Users,registered,
649,662.0,2012-10-11,81,3,2193,3,2,3,8,Low-Value Users,registered,
650,663.0,2012-06-08,206,2,1448,2,2,2,6,Low-Value Users,registered,
651,664.0,2012-11-29,32,4,2807,4,3,3,10,Medium-Value Users,registered,
652,665.0,2012-12-19,12,5,3667,5,3,4,12,Medium-Value Users,registered,
653,666.0,2012-12-03,28,1,692,4,2,2,8,Low-Value Users,registered,
654,667.0,2012-05-07,238,1,769,2,2,2,6,Low-Value Users,registered,
655,668.0,2012-11-09,52,4,2766,3,3,3,9,Low-Value Users,registered,
656,669.0,2012-07-16,168,2,1478,2,2,2,6,Low-Value Users,registered,
657,670.0,2012-12-12,19,6,4318,4,3,4,11,Medium-Value Users,registered,
658,672.0,2012-07-23,161,2,1454,2,2,2,6,Low-Value Users,registered,
659,673.0,2012-04-17,258,1,781,2,2,2,6,Low-Value Users,registered,
660,674.0,2012-09-28,94,2,1486,3,2,2,7,Low-Value Users,registered,
661,675.0,2012-07-17,167,3,2157,2,2,3,7,Low-Value Users,registered,
662,677.0,2012-10-02,90,4,3092,3,3,3,9,Low-Value Users,registered,
663,678.0,2012-07-19,165,2,1569,2,2,2,6,Low-Value Users,registered,
664,679.0,2012-06-08,206,2,1583,2,2,2,6,Low-Value Users,registered,
665,680.0,2012-07-26,158,2,1439,2,2,2,6,Low-Value Users,registered,
666,681.0,2012-08-02,151,3,2287,2,2,3,7,Low-Value Users,registered,
667,682.0,2012-06-14,200,1,719,2,2,2,6,Low-Value Users,registered,
668,683.0,2012-11-28,33,1,692,4,2,2,8,Low-Value Users,registered,
669,684.0,2012-10-31,61,3,2272,3,2,3,8,Low-Value Users,registered,
670,688.0,2012-06-06,208,2,1594,2,2,2,6,Low-Value Users,registered,
671,689.0,2012-08-08,145,1,737,2,2,2,6,Low-Value Users,registered,
672,690.0,2012-09-07,115,1,719,2,2,2,6,Low-Value Users,registered,
673,691.0,2012-07-23,161,2,1529,2,2,2,6,Low-Value Users,registered,
674,692.0,2012-10-26,66,3,2350,3,2,3,8,Low-Value Users,registered,
675,693.0,2012-12-04,27,3,2500,4,2,3,9,Low-Value Users,registered,
676,694.0,2012-11-16,45,2,1454,4,2,2,8,Low-Value Users,registered,
677,695.0,2012-08-24,129,1,812,2,2,2,6,Low-Value Users,registered,
678,696.0,2012-10-22,70,3,2196,3,2,3,8,Low-Value Users,registered,
679,697.0,2012-09-10,112,5,3970,2,3,4,9,Low-Value Users,registered,
680,698.0,2012-10-09,83,2,1536,3,2,2,7,Low-Value Users,registered,
681,699.0,2012-09-21,101,2,1615,3,2,2,7,Low-Value Users,registered,
682,700.0,2012-12-04,27,3,2249,4,2,3,9,Low-Value Users,registered,
683,701.0,2012-08-30,123,1,754,2,2,2,6,Low-Value Users,registered,
684,702.0,2012-09-11,111,1,750,2,2,2,6,Low-Value Users,registered,
685,703.0,2012-08-24,129,3,2297,2,2,3,7,Low-Value Users,registered,
686,704.0,2012-07-12,172,2,1590,2,2,2,6,Low-Value Users,registered,
687,706.0,2012-10-12,80,1,837,3,2,2,7,Low-Value Users,registered,
688,707.0,2012-09-28,94,1,808,3,2,2,7,Low-Value Users,registered,
689,708.0,2012-12-11,20,2,1498,4,2,2,8,Low-Value Users,registered,
690,709.0,2012-11-30,31,4,3146,4,3,3,10,Medium-Value Users,registered,
691,711.0,2012-10-12,80,4,3080,3,3,3,9,Low-Value Users,registered,
692,712.0,2012-12-03,28,2,1503,4,2,2,8,Low-Value Users,registered,
693,713.0,2012-10-15,77,1,737,3,2,2,7,Low-Value Users,registered,
694,714.0,2012-10-26,66,1,734,3,2,2,7,Low-Value Users,registered,
695,715.0,2012-09-14,108,2,1566,2,2,2,6,Low-Value Users,registered,
696,716.0,2012-08-13,140,3,2426,2,2,3,7,Low-Value Users,registered,
697,718.0,2012-08-02,151,1,739,2,2,2,6,Low-Value Users,registered,
